STRATEGY_EMMITED,STRATEGY_CONFLUENCE_FILTERED,STRATEGY_CONFIDENCE_FILTERED,STRATEGY_CONFLUENCE_ACCEPTANCE_RATE,WIN_RATE,FREQUENCY_RATE,TOTAL_RATE,PROFIT_RATE,SL_LEVEL,TP_LEVEL,CLOSED
574,68,0.5588235294117647,0.11846689895470383,86.40628118969992,-59916.0,91.7650530186235,94.0616695167336,1.5,2,0.1870966109882488
573,69,0.5507246376811594,0.12041884816753927,87.0383924412802,-59916.0,92.20030687945754,94.4125559243907,1.5,2,-0.26126432688940326
572,69,0.5652173913043478,0.12062937062937062,82.57555432809912,-63165.0,88.22987661309224,90.65315759237501,1.5,2,0.2404728213703322
574,72,0.5555555555555556,0.1254355400696864,79.15111807434837,-70010.0,87.45124939169638,91.00844852770265,1.5,2,-0.23873482242734667
577,72,0.5555555555555556,0.12478336221837089,79.8191140863125,-70010.0,88.071997502464,91.6089475379575,1.5,2,0.2885985454100819
571,72,0.5555555555555556,0.12609457092819615,80.57965801975153,-66529.0,84.69006808885271,86.45167240418179,1.5,2,0.244408894433235
571,74,0.5540540540540541,0.1295971978984238,76.58453211793191,-70010.0,83.49153031830292,86.45167240417621,1.5,2,0.3016383644796008
567,75,0.56,0.13227513227513227,83.27894648592175,-77331.0,86.84433088839924,88.3723527751753,1.5,2,0.30050513855277927
568,75,0.56,0.13204225352112675,79.55140524435387,-77331.0,85.80757587393288,88.48879185803817,1.5,2,0.23874771611323808
570,73,0.5753424657534246,0.1280701754385965,85.28201622576775,-77331.0,88.69357597557897,90.15567301121234,1.5,2,-0.21043296273367673
562,69,0.5797101449275363,0.12277580071174377,81.00982765987752,-70010.0,84.84557676404786,86.48946923726372,1.5,2,-0.37721378465150224
560,64,0.609375,0.11428571428571428,77.49104587210958,-66529.0,80.18403597850079,81.33817459552557,1.5,2,0.3022976431606139
563,66,0.6212121212121212,0.1172291296625222,74.4601002574177,-73610.0,79.60330830792012,81.80754032956402,1.5,2,-0.2781374867133195
563,64,0.625,0.11367673179396093,75.02634952285999,-70010.0,77.54337691005873,78.62210293314389,1.5,2,-0.409677415007593
500,21,0.6190476190476191,0.042,88.05100559817541,-48030.0,95.58303537856368,98.81104814158722,1.5,2,-0.10864804005515794
500,20,0.6,0.04,81.64835164835165,-48030.0,85.5193971260027,87.17841661642458,1.5,2,-0.2990755653137569
500,18,0.5555555555555556,0.036,77.2300524170064,-42725.0,81.27125662421618,83.00320128444892,1.5,2,-0.35164119900716173
500,20,0.55,0.04,76.91429073496464,-45326.0,79.94505645514008,81.24395604950098,1.5,2,0.2656087661667925
500,25,0.48,0.05,72.24223520625577,-45326.0,78.47374465479186,81.14439156130733,1.5,2,0.3036473545009528
500,36,0.3611111111111111,0.072,80.90871686357491,-50839.0,83.38703656440515,84.44917357904669,1.5,2,-0.32139498343590844
500,35,0.4,0.07,76.29067967632595,-50839.0,81.92743505400941,84.3431873587309,1.5,2,-0.25502424592176
